City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
506,Richards Bay,ZA,66.18,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
507,Shache,CN,75.81,clear sky,38.4167,77.2406,Delong Hotel
508,Taoudenni,ML,88.32,light rain,22.6783,-3.9836,
511,Pemba,MZ,72.3,scattered clouds,-12.974,40.5178,Guesthouse Samotina
512,Tortoli,IT,80.42,clear sky,39.9256,9.6572,Hotel La Bitta
516,Naze,JP,83.32,scattered clouds,28.3667,129.4833,Shishime Hotel
517,Westport,US,90.63,clear sky,41.1415,-73.3579,The Westport Inn
519,Saint-Pierre,RE,65.28,clear sky,-21.3393,55.4781,Alize Plage
521,Camden,US,94.95,overcast clouds,39.7835,-74.9663,Lindenwold Lodge
525,Carthage,TN,76.53,clear sky,36.8611,10.3316,Dar Fatma
527,Karaton,ID,72.54,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
528,Plasy,CZ,68.02,clear sky,49.9345,13.3904,Pivovarský Dvůr Plasy
529,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
530,Guerrero Negro,MX,77.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
533,Hearst,CA,71.85,heavy intensity rain,49.6835,-83.6665,Companion
535,Troyes,FR,65.17,clear sky,48.3333,4.0833,Logis Hôtel des Sources
536,Guarapari,BR,71.89,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
537,Saint-Louis,SN,83.84,light rain,16.3333,-15.0,
538,Yining,CN,81.16,broken clouds,29.0361,114.5636,Xiushui Hotel
541,Isabela,PH,78.85,light rain,6.7085,121.9711,Isawad Resort
542,Gulbarga,IN,76.39,overcast clouds,17.3333,76.8333,OYO 37176 N K Comforts
545,Kapuvar,HU,73.65,overcast clouds,47.5922,17.0289,Báró Berg Apartman
546,Gamba,GA,70.14,overcast clouds,-2.65,10.0,
548,Camopi,GF,74.03,overcast clouds,3.1655,-52.3158,La pousada
549,San Benito,US,92.86,clear sky,36.6166,-121.0844,
551,Estevan,CA,78.22,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
552,West Bay,KY,90.07,scattered clouds,19.3667,-81.4167,Calypso Cove
553,Le Port,RE,66.16,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
554,Imbituba,BR,68.09,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
555,Along,IN,74.21,light rain,28.1667,94.7667,Hotel West
557,Oda,JP,74.17,overcast clouds,35.1833,132.5,Sky Hotel Oda
559,Pesaro,IT,81.21,clear sky,43.9036,12.8903,Savoy
561,Varkkallai,IN,78.58,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
564,Puqi,CN,82.36,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
